prestamo_id,cliente_sk,fecha_sk,producto_sk,monto,tasa_interes,plazo_meses,ingreso_estimado,costo_fondeo_estimado,score_riesgo,max_dias_mora,es_default,margen_estimado
1079,1195,2397,7,2301.52,0.2494,12,574.0,138.09,51.78,0,False,435.91
2883,3250,2734,7,2195.16,0.1816,60,1993.21,658.55,45.0,180,True,1334.66
1,1,1552,8,27266.13,0.1327,36,10854.65,4498.91,21.46,188,True,6355.74
2,1,2182,9,56081.5,0.1104,60,30956.99,13459.56,20.16,52,False,17497.43
3,2,2867,8,11876.29,0.1799,60,10682.72,3265.98,69.3,143,True,7416.74
4,4,3057,9,95005.74,0.1039,180,148066.45,68404.13,67.34,0,False,79662.32
5,5,1267,7,8612.29,0.1485,36,3836.78,1550.21,30.9,107,True,2286.57
6,6,1056,8,22450.77,0.1204,36,8109.22,3704.38,26.42,105,True,4404.84
7,7,2858,7,1995.43,0.1921,24,766.64,239.45,65.58,186,True,527.19
8,7,3066,7,38452.39,0.2479,60,47661.74,11535.72,63.55,0,False,36126.02
9,8,2746,9,74188.7,0.0863,180,96037.27,53415.86,41.57,54,False,42621.41
10,10,800,7,32742.8,0.2507,60,41043.1,9822.84,24.76,118,True,31220.26
11,10,2318,7,7631.26,0.2463,36,5638.74,1373.63,26.02,121,True,4265.11
12,11,1799,9,69756.43,0.1057,240,147465.09,66966.17,39.53,134,True,80498.92
13,12,2968,8,25210.14,0.171,36,12932.8,4159.67,70.28,117,True,8773.13
14,13,1623,7,43265.41,0.1397,24,12088.36,5191.85,29.37,146,True,6896.51
15,17,1941,7,16682.37,0.2085,36,10434.82,3002.83,29.32,106,True,7431.99
16,18,2799,9,69965.07,0.0813,240,113763.2,67166.47,43.6,138,True,46596.73
17,20,2467,9,59307.99,0.1081,60,32055.97,14233.92,47.55,107,True,17822.05
18,21,1748,9,92400.73,0.1131,180,156757.84,66528.53,31.5,195,True,90229.31
19,22,2849,7,33023.73,0.2314,36,22925.07,5944.27,66.05,83,False,16980.8
20,23,1704,9,60646.56,0.1042,180,94790.57,43665.52,17.95,191,True,51125.05
21,25,844,8,13143.12,0.1631,60,10718.21,3614.36,30.58,135,True,7103.85
22,26,2112,9,63851.82,0.0952,60,30393.47,15324.44,43.43,114,True,15069.03
23,27,584,8,13231.28,0.1438,60,9513.29,3638.6,23.81,87,False,5874.69
24,28,1550,7,24038.36,0.1718,24,8259.58,2884.6,27.69,189,True,5374.98
25,28,2515,8,22698.59,0.1379,72,18780.81,7490.53,26.98,103,True,11290.28
26,30,3006,9,63434.15,0.0729,240,92486.99,60896.78,41.16,0,False,31590.21
27,30,2181,7,3394.95,0.1669,48,2266.47,814.79,47.82,107,True,1451.68
28,31,1420,8,22041.75,0.1136,48,10015.77,4849.19,34.96,62,False,5166.58
29,31,2072,9,60878.77,0.118,120,71836.95,29221.81,32.12,25,False,42615.14
30,33,471,9,68173.43,0.1103,60,37597.65,16361.62,22.98,145,True,21236.03
31,33,2416,8,24504.86,0.1415,24,6934.88,2695.53,25.16,313,True,4239.35
32,35,2550,7,28743.39,0.1801,36,15530.05,5173.81,61.51,82,False,10356.24
33,37,2431,8,16763.01,0.1509,24,5059.08,1843.93,50.35,119,True,3215.15
34,39,2016,7,10296.52,0.2524,36,7796.52,1853.37,33.07,104,True,5943.15
35,39,2999,8,13794.35,0.1049,24,2894.05,1517.38,32.49,0,False,1376.67
36,42,2685,8,28126.97,0.107,36,9028.76,4640.95,55.65,48,False,4387.81
37,42,2729,7,22756.16,0.1405,24,6394.48,2730.74,56.27,78,False,3663.74
38,43,228,7,13079.81,0.1339,48,7005.55,3139.15,21.17,134,True,3866.4
39,44,2900,7,22765.8,0.1821,12,4145.65,1365.95,71.39,35,False,2779.7
40,45,2518,8,10247.3,0.1187,60,6081.77,2818.01,63.02,57,False,3263.76
41,46,2070,9,62836.28,0.1173,240,147413.91,60322.83,50.1,112,True,87091.08
42,47,485,7,26980.56,0.1861,48,20084.33,6475.33,22.93,113,True,13609.0
43,48,2878,7,5112.98,0.2266,48,4634.41,1227.12,37.07,0,False,3407.29
44,49,3012,9,53584.19,0.1189,120,63711.6,25720.41,57.95,0,False,37991.19
45,50,2066,8,10335.79,0.1639,72,10164.22,3410.81,34.61,197,True,6753.41
46,50,2313,8,13403.96,0.1544,24,4139.14,1474.44,35.16,105,True,2664.7
47,51,3020,7,21174.42,0.2037,24,8626.46,2540.93,52.74,3,False,6085.53
48,51,2283,7,4769.61,0.2601,48,4962.3,1144.71,53.43,2,False,3817.59
49,52,2412,9,69180.55,0.1076,60,37219.14,16603.33,23.65,148,True,20615.81
50,53,2807,7,11907.87,0.2614,60,15563.59,3572.36,45.02,197,True,11991.23
51,54,2370,8,17466.86,0.137,36,7178.88,2882.03,61.01,112,True,4296.85
52,54,2394,8,32596.94,0.1005,72,19655.95,10756.99,59.53,138,True,8898.96
53,55,2737,8,50625.29,0.115,60,29109.54,13921.95,67.16,70,False,15187.59
