contrato_id,cliente_sk,fecha_sk,producto_sk,tipo_producto,monto_referencia,estado
1,1,929,4,Tarjeta,0.0,Activa
2,1,2721,5,Tarjeta,6736.06,Activa
3,2,2868,4,Tarjeta,0.0,Activa
4,3,1487,4,Tarjeta,0.0,Activa
5,3,2375,5,Tarjeta,6363.87,Activa
6,4,3077,4,Tarjeta,0.0,Activa
7,5,2471,4,Tarjeta,0.0,Activa
8,6,1431,4,Tarjeta,0.0,Activa
9,7,3026,4,Tarjeta,0.0,Activa
10,8,2333,4,Tarjeta,0.0,Activa
11,8,2854,5,Tarjeta,11372.09,Bloqueada
12,9,2869,4,Tarjeta,0.0,Activa
13,9,2537,5,Tarjeta,6784.94,Activa
14,10,1198,4,Tarjeta,0.0,Activa
15,10,982,6,Tarjeta,6182.05,Activa
16,11,2993,4,Tarjeta,0.0,Activa
17,12,3025,4,Tarjeta,0.0,Activa
18,12,3040,6,Tarjeta,5295.01,Activa
19,13,1300,5,Tarjeta,5666.64,Activa
20,14,2101,4,Tarjeta,0.0,Activa
21,15,2084,4,Tarjeta,0.0,Activa
22,15,2977,5,Tarjeta,2483.17,Activa
23,16,1976,6,Tarjeta,6908.6,Activa
24,17,2786,4,Tarjeta,0.0,Activa
25,17,1571,5,Tarjeta,3786.28,Cancelada
26,18,1844,5,Tarjeta,5238.41,Activa
27,19,630,4,Tarjeta,0.0,Activa
28,20,2164,4,Tarjeta,0.0,Activa
29,21,2199,4,Tarjeta,0.0,Activa
30,21,2265,5,Tarjeta,24213.08,Activa
31,22,2814,4,Tarjeta,0.0,Activa
32,22,2687,5,Tarjeta,7975.65,Activa
33,24,2570,4,Tarjeta,0.0,Activa
34,24,2660,5,Tarjeta,2824.51,Activa
35,25,3067,4,Tarjeta,0.0,Bloqueada
36,25,1595,6,Tarjeta,6175.52,Activa
37,26,2599,4,Tarjeta,0.0,Activa
38,26,2075,5,Tarjeta,7288.01,Cancelada
39,27,2496,4,Tarjeta,0.0,Activa
40,27,443,5,Tarjeta,3855.02,Activa
41,29,2137,4,Tarjeta,0.0,Activa
42,29,2374,5,Tarjeta,3573.13,Activa
43,30,2000,4,Tarjeta,0.0,Activa
44,32,2577,4,Tarjeta,0.0,Activa
45,33,2857,4,Tarjeta,0.0,Cancelada
46,35,2531,4,Tarjeta,0.0,Bloqueada
47,36,1203,4,Tarjeta,0.0,Activa
48,38,1656,4,Tarjeta,0.0,Bloqueada
49,38,1176,6,Tarjeta,2457.39,Activa
50,40,2458,6,Tarjeta,6521.69,Activa
51,41,3087,4,Tarjeta,0.0,Activa
52,41,2716,5,Tarjeta,7390.79,Activa
53,42,2997,4,Tarjeta,0.0,Activa
54,43,2746,4,Tarjeta,0.0,Activa
55,43,1090,5,Tarjeta,9667.37,Activa
56,44,3002,4,Tarjeta,0.0,Activa
57,45,2760,4,Tarjeta,0.0,Activa
58,45,2801,5,Tarjeta,1734.75,Activa
59,46,2114,4,Tarjeta,0.0,Activa
60,46,2167,5,Tarjeta,5261.47,Activa
61,47,1657,4,Tarjeta,0.0,Activa
62,49,2342,6,Tarjeta,7397.0,Activa
63,50,2883,4,Tarjeta,0.0,Activa
64,51,3058,4,Tarjeta,0.0,Activa
65,52,668,4,Tarjeta,0.0,Activa
66,53,1708,4,Tarjeta,0.0,Activa
67,54,2429,4,Tarjeta,0.0,Activa
68,56,3048,4,Tarjeta,0.0,Activa
69,58,1949,4,Tarjeta,0.0,Activa
70,59,2798,4,Tarjeta,0.0,Activa
71,60,2599,4,Tarjeta,0.0,Activa
72,61,3011,4,Tarjeta,0.0,Activa
73,61,2459,6,Tarjeta,3061.55,Activa
74,62,1778,4,Tarjeta,0.0,Activa
75,63,2286,4,Tarjeta,0.0,Activa
76,63,1636,5,Tarjeta,4236.71,Bloqueada
77,64,2418,4,Tarjeta,0.0,Activa
78,64,1203,5,Tarjeta,5292.34,Activa
79,65,3022,4,Tarjeta,0.0,Activa
80,65,3042,5,Tarjeta,12160.16,Activa
81,66,1964,4,Tarjeta,0.0,Activa
82,67,2784,5,Tarjeta,7148.01,Activa
83,68,1521,5,Tarjeta,18035.3,Activa
84,69,2377,5,Tarjeta,4969.05,Activa
85,70,1751,4,Tarjeta,0.0,Activa
86,70,2239,5,Tarjeta,3596.2,Cancelada
87,71,3079,4,Tarjeta,0.0,Activa
